TransactionID,Name,Email,Phone,ProductID,ProductName,Quantity,BillingAmount,FinalAmount,Timestamp
38361,Aarav Smith,aarav.smith324@hotmail.com,9881242417,1002,Bourboun,32,960,960,Wed May 21 19:20:55 2025
98216,Ananya Sharma,ananya.sharma970@protonmail.com,9899417332,1001,5 star,49,490,490,Wed May 21 03:19:34 2025
76167,Ananya Nair,ananya.nair905@outlook.com,9814058685,1002,Bourboun,32,960,960,Thu Jun 12 23:55:14 2025
91366,Neha Wilson,neha.wilson739@protonmail.com,9875372141,1005,Center Fresh,38,76,76,Wed Jun  4 19:12:57 2025
46699,Neha Johnson,neha.johnson442@protonmail.com,9834200532,1003,Chocolate Cake,48,16320,14688.0,Thu May 22 22:27:17 2025
57993,Karthik Hall,karthik.hall47@yahoo.com,9845505177,1005,Center Fresh,12,24,24,Sat Jun 14 06:57:42 2025
44059,Ishita Chopra,ishita.chopra919@protonmail.com,9897881217,1003,Chocolate Cake,37,12580,11322.0,Thu May 29 15:35:57 2025
66858,Ishita Reddy,ishita.reddy490@yahoo.com,9871971761,1004,Strawberry Cake,41,18860,16974.0,Mon Jun  9 23:24:43 2025
29277,Siddharth Wilson,siddharth.wilson654@protonmail.com,9884781125,1005,Center Fresh,42,84,84,Wed Jun  4 05:33:42 2025
62988,James Wilson,james.wilson556@protonmail.com,9851049729,1003,Chocolate Cake,31,10540,9486.0,Mon Jun  2 01:04:48 2025
49224,Olivia Kumar,olivia.kumar812@yahoo.com,9874655164,1004,Strawberry Cake,44,20240,18216.0,Tue May 27 11:37:20 2025
47013,Liam Walker,liam.walker954@protonmail.com,9897080663,1006,Happydent,30,150,150,Thu May 29 08:31:51 2025
17193,Lucas Nair,lucas.nair800@yahoo.com,9844624191,1006,Happydent,49,245,245,Sat Jun  7 19:27:39 2025
37686,Divya Wilson,divya.wilson698@protonmail.com,9871141870,1002,Bourboun,43,1290,1290,Tue Jun 10 11:04:15 2025
88256,Emily Kumar,emily.kumar365@hotmail.com,9874198299,1006,Happydent,21,105,105,Thu Jun 12 18:10:41 2025
18615,Karthik Lee,karthik.lee108@protonmail.com,9870206850,1001,5 star,2,20,20,Sat May 31 15:05:13 2025
57878,Ava Mishra,ava.mishra259@hotmail.com,9835291144,1005,Center Fresh,32,64,64,Wed May 21 10:14:25 2025
95812,Karthik Walker,karthik.walker627@outlook.com,9823553500,1003,Chocolate Cake,6,2040,2040,Tue Jun 17 16:59:24 2025
65727,Aarav Lee,aarav.lee468@outlook.com,9827872489,1001,5 star,11,110,110,Tue Jun 10 05:51:16 2025
59155,Aarav Singh,aarav.singh741@hotmail.com,9859552851,1001,5 star,9,90,90,Mon May 19 11:23:20 2025
20985,Lucas Das,lucas.das274@gmail.com,9826155891,1001,5 star,35,350,350,Thu May 29 09:08:44 2025
87540,Priya Reddy,priya.reddy187@protonmail.com,9832613375,1006,Happydent,24,120,120,Fri May 30 11:34:12 2025
37035,Siddharth Lee,siddharth.lee671@protonmail.com,9840157123,1003,Chocolate Cake,45,15300,13770.0,Thu Jun 12 17:04:12 2025
83055,Divya Davis,divya.davis398@yahoo.com,9831743794,1001,5 star,17,170,170,Tue Jun 10 13:48:52 2025
50257,Sophia Lee,sophia.lee874@protonmail.com,9856282916,1001,5 star,4,40,40,Thu Jun 12 18:34:38 2025
29922,Emma Patel,emma.patel385@protonmail.com,9898097463,1004,Strawberry Cake,9,4140,4140,Thu Jun  5 09:13:30 2025
42519,Emily Lee,emily.lee456@hotmail.com,9860489288,1003,Chocolate Cake,1,340,340,Sat Jun 14 16:47:26 2025
66081,Emily Chopra,emily.chopra81@outlook.com,9850104899,1002,Bourboun,4,120,120,Tue Jun 10 00:27:02 2025
75680,Emily Brown,emily.brown241@gmail.com,9864604807,1004,Strawberry Cake,28,12880,11592.0,Wed Jun 18 03:11:14 2025
31046,Emma Smith,emma.smith903@outlook.com,9878867138,1006,Happydent,45,225,225,Mon Jun 16 12:08:21 2025
78860,Karthik Johnson,karthik.johnson594@gmail.com,9870698948,1005,Center Fresh,42,84,84,Sat May 24 05:16:21 2025
19865,Sophia Brown,sophia.brown590@protonmail.com,9880124179,1006,Happydent,30,150,150,Mon Jun 16 14:00:55 2025
66423,Ethan Reddy,ethan.reddy179@yahoo.com,9882830200,1006,Happydent,30,150,150,Mon May 26 16:02:17 2025
90327,Siddharth Patel,siddharth.patel626@hotmail.com,9833420465,1003,Chocolate Cake,17,5780,5280,Tue May 20 01:36:38 2025
69452,Ishita Lee,ishita.lee704@gmail.com,9864655296,1006,Happydent,5,25,25,Thu May 29 12:14:56 2025
15106,Priya Verma,priya.verma781@gmail.com,9863782700,1003,Chocolate Cake,22,7480,6732.0,Sun Jun 15 10:52:03 2025
30653,Siddharth Chopra,siddharth.chopra1@gmail.com,9878517378,1006,Happydent,47,235,235,Thu May 22 00:16:22 2025
84685,Rohan Mishra,rohan.mishra988@yahoo.com,9871814854,1001,5 star,8,80,80,Wed May 21 04:10:44 2025
36152,Divya Brown,divya.brown905@gmail.com,9887751636,1006,Happydent,40,200,200,Fri Jun 13 06:25:20 2025
78303,Liam Sharma,liam.sharma443@protonmail.com,9880422467,1002,Bourboun,23,690,690,Mon May 26 02:55:29 2025
66851,Raj Nair,raj.nair139@yahoo.com,9870992007,1005,Center Fresh,25,50,50,Tue Jun  3 22:56:13 2025
88768,Ananya Verma,ananya.verma947@protonmail.com,9862449756,1001,5 star,22,220,220,Thu May 22 05:25:59 2025
